url,status,detail,local_file,sha256
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Corrugated-Packaging.jpg,downloaded,jpg 50KB,2024-10-custom-kraft-corrugated-packaging.jpg,16487470b4d7415491bfb137ac1230d4c65e03f945adb6ad664d2ed891c3150e
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Cupcake-Boxes.jpg,downloaded,jpg 28KB,2024-10-custom-kraft-cupcake-boxes.jpg,f448257764e3c0ff71da4c10c31e764c03687cdc46f647f66adcddd4ee175f0a
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Cupcake-Packaging.jpg,downloaded,jpg 22KB,2024-10-custom-kraft-cupcake-packaging.jpg,68c8aa04135999198669ba8bcae441283df12a8b31975c900645f90a2d098698
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Dispenser-Boxes.jpg,downloaded,jpg 48KB,2024-10-custom-kraft-dispenser-boxes.jpg,8bae9d82c98616994cc6c3a933e2ef17ebe2ed224d19d71fbfe1cc30726805f0
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Dispenser-Packaging.jpg,downloaded,jpg 30KB,2024-10-custom-kraft-dispenser-packaging.jpg,59eeb233b31d394a4680ab11bf717bd57d6ecd43f9f00ce111565a58e26074cc
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Drawer-Boxes.jpg,downloaded,jpg 42KB,2024-10-custom-kraft-drawer-boxes.jpg,2ea5b9e37240fb6146ebb59328a098de0f41135ea65f1abce33ac09cc9c6b028
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Drawer-Packaging.jpg,downloaded,jpg 23KB,2024-10-custom-kraft-drawer-packaging.jpg,fb380759581e688ab416473c1dd12697dec039a2439e15c14b688cbfe95c9d92
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Favor-Boxes.jpg,downloaded,jpg 49KB,2024-10-custom-kraft-favor-boxes.jpg,0c4491cf2d599a52d113af1886d5164c66750f04e99156bb03f5458e5ef9394f
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Favor-Packaging.jpg,downloaded,jpg 42KB,2024-10-custom-kraft-favor-packaging.jpg,744bad6c118c5eb64160cec174a564f539476dcc6620a49744ed45d6e483803d
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Food-Boxes.jpg,downloaded,jpg 28KB,2024-10-custom-kraft-food-boxes.jpg,4113039a9e3f723e171cad9b7b64afef9669759d2507bff05ee448419acc4c44
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Food-Packaging.jpg,downloaded,jpg 27KB,2024-10-custom-kraft-food-packaging.jpg,c7f4a4c1accb01974d9ca7d4f354d05e3e819bf41106d3e3f9a8ee4f72ca882d
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Gable-Boxes.jpg,downloaded,jpg 54KB,2024-10-custom-kraft-gable-boxes.jpg,ceeef2f40de95c3a2c4393f1c150a960037bd4fabfe9e9d27ac6adcad30fbc26
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Gable-Packaging.jpg,downloaded,jpg 38KB,2024-10-custom-kraft-gable-packaging.jpg,2411513aa6317bda02d898fa4efbc83bc9a05b2111e0b466b03ade59e3f417ef
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Gift-Boxes-with-Lids.jpg,downloaded,jpg 42KB,2024-10-custom-kraft-gift-boxes-with-lids.jpg,bce9093561dfc504ec191c65953ef0428d282c55c90a308b394ad780925f9f45
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Gift-with-Lids-Packaging.jpg,downloaded,jpg 38KB,2024-10-custom-kraft-gift-with-lids-packaging.jpg,cdf31fba7af2c16cc068a5245ee397f5b7f011dae2b310ebdaa3d4f35ce3f7a0
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Jewelry-Boxes.jpg,downloaded,jpg 67KB,2024-10-custom-kraft-jewelry-boxes.jpg,38bdc96fcc5d1c4b6788d6044cee39009eb391c72a08a33b40b6b482a8f33043
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Jewelry-Packaging.jpg,downloaded,jpg 29KB,2024-10-custom-kraft-jewelry-packaging.jpg,1fe5e305f347aa15a13ec474f4249e2bf95c0b5c069cab44942fb7cf50068981
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Mailer-Boxes.jpg,downloaded,jpg 34KB,2024-10-custom-kraft-mailer-boxes.jpg,60914dfd4ea6c15650ef5da668b8c12d6b2b1330c23b6a5045abf191ca1d1b17
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Mailer-Packaging.jpg,downloaded,jpg 51KB,2024-10-custom-kraft-mailer-packaging.jpg,b94db5e02667fb295af0d242b1d3ca3a9843ab9cbea250994a40cf305fabaee0
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Paper-Boxes.jpg,downloaded,jpg 27KB,2024-10-custom-kraft-paper-boxes.jpg,1aa9eae70786148362b62ae0fb1f495d734b8565bad1b3f0778f782ee16a925e
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Paper-Dispenser-Boxes.jpg,downloaded,jpg 63KB,2024-10-custom-kraft-paper-dispenser-boxes.jpg,001e339b8aab866f8c336fe73d8c6f61fb3eb1166893a4be2162e91443095446
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Paper-Dispenser-Packaging.jpg,downloaded,jpg 29KB,2024-10-custom-kraft-paper-dispenser-packaging.jpg,914f2796016ae9d6d6e6704b0817f3c8ccc1aa2724857c2686feabbef9fb2194
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Paper-Gift-Boxes.jpg,downloaded,jpg 42KB,2024-10-custom-kraft-paper-gift-boxes.jpg,02c8a39972fd13ebb0368303cd22724802552f17312091f89cd9442ec603d2b7
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Paper-Gift-Packaging.jpg,downloaded,jpg 23KB,2024-10-custom-kraft-paper-gift-packaging.jpg,fb7c41b7dc9e2f7c915ca46210e8868f7fa384cef3883d2ba2a01b44b0de9030
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Paper-Gift-Wrapping.jpg,downloaded,jpg 52KB,2024-10-custom-kraft-paper-gift-wrapping.jpg,71b68cf431da56d51da5032e93fc82f988917107e21a2ca4003fd7afe0ffbc23
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Paper-Gift.jpg,downloaded,jpg 48KB,2024-10-custom-kraft-paper-gift.jpg,27354a7b33a15d9feed17fe091007b0d7015c40c10b250a090f7c1104ff6fad3
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Paper-Packaging.jpg,downloaded,jpg 36KB,2024-10-custom-kraft-paper-packaging.jpg,2b19405178dec7e04c2f0f89f74867d0a5b849c364871902c7b32c9f89e2e769
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Pizza-Boxes.jpg,downloaded,jpg 44KB,2024-10-custom-kraft-pizza-boxes.jpg,1a515b6c2fae61cbd3b58e4158d67ff0937d415b125a5851b51d524f37cc74ab
