old_url,local_file,alt_text,used_by,role
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Favor-Packaging.jpg,2024/10/Custom-Kraft-Favor-Packaging.jpg,,/product/kraft-favor-boxes/,gallery
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Food-Boxes.jpg,2024/10/Custom-Kraft-Food-Boxes.jpg,,/product/kraft-food-boxes/,gallery
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Food-Packaging.jpg,2024/10/Custom-Kraft-Food-Packaging.jpg,,/product/kraft-food-boxes/,gallery
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Gable-Boxes.jpg,2024/10/Custom-Kraft-Gable-Boxes.jpg,,/product/kraft-gable-boxes/,gallery
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Gable-Packaging.jpg,2024/10/Custom-Kraft-Gable-Packaging.jpg,,/product/kraft-gable-boxes/,gallery
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Gift-Boxes-with-Lids.jpg,2024/10/Custom-Kraft-Gift-Boxes-with-Lids.jpg,,/product/kraft-gift-boxes-with-lids/,gallery
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Gift-with-Lids-Packaging.jpg,2024/10/Custom-Kraft-Gift-with-Lids-Packaging.jpg,,/product/kraft-gift-boxes-with-lids/,gallery
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Jewelry-Boxes.jpg,2024/10/Custom-Kraft-Jewelry-Boxes.jpg,,/product/kraft-jewelry-boxes/,gallery
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Jewelry-Packaging.jpg,2024/10/Custom-Kraft-Jewelry-Packaging.jpg,,/product/kraft-jewelry-boxes/,gallery
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Mailer-Boxes.jpg,2024/10/Custom-Kraft-Mailer-Boxes.jpg,,/product/kraft-mailer-boxes/,gallery
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Mailer-Packaging.jpg,2024/10/Custom-Kraft-Mailer-Packaging.jpg,,/product/kraft-mailer-boxes/,gallery
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Paper-Boxes.jpg,2024/10/Custom-Kraft-Paper-Boxes.jpg,,/product/kraft-paper-packaging/,gallery
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Paper-Dispenser-Boxes.jpg,2024/10/Custom-Kraft-Paper-Dispenser-Boxes.jpg,,/product/kraft-paper-dispenser-boxes/,gallery
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Paper-Dispenser-Packaging.jpg,2024/10/Custom-Kraft-Paper-Dispenser-Packaging.jpg,,/product/kraft-paper-dispenser-boxes/,gallery
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Paper-Gift-Boxes.jpg,2024/10/Custom-Kraft-Paper-Gift-Boxes.jpg,,/product/kraft-paper-gift-boxes/,gallery
https://kraftboxpack.com/wp-content/uploads/2024/10/Custom-Kraft-Paper-Gift-Packaging.jpg,2024/10/Custom-Kraft-Paper-Gift-Packaging.jpg,,/product/kraft-paper-gift-boxes/,gallery
